35900 ft,,59800,,82200,,100000,,120300,,154800,,173500,,200100,,230400,,259700,,294800,,322900,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3798.304335,843.5765818,3769.163579,829.258955,3752.04499,827.0650696,3735.16105,810.5023463,3735.181126,818.7794059,3735.16105,810.5023463,3768.868702,818.796614,3768.888778,827.0736736,3785.71249,818.805218,3802.576353,827.0908816,3802.536201,810.5367623,3920.462791,818.8740501
4235.138152,943.9189114,4439.123448,1044.142299,4291.467794,1001.158651,4476.869915,1050.915653,4038.590142,909.9819343,4308.271429,984.6131354,4392.570672,1017.764394,4797.162869,1158.680904,4527.401278,1050.941465,4274.563778,976.3188677,4257.659762,951.4790847,4240.73567,918.3622421
4730.392248,1130.107531,5138.36284,1330.554306,4982.665371,1249.823205,5252.406886,1349.285585,4729.787719,1158.646488,4965.741279,1216.706362,5151.24378,1307.848662,5842.481509,1573.067336,5286.114538,1357.579852,4881.442036,1183.555103,4729.707414,1125.53825,4662.211807,1075.841476
5313.137996,1387.854549,6099.799657,1717.219437,5724.474615,1531.621809,6196.582496,1730.512153,5707.650903,1539.890265,5842.541737,1597.898515,6432.636436,1829.957325,6786.737422,1987.402143,6280.861662,1755.386352,5825.617645,1564.781672,5387.19734,1365.908536,5201.674763,1266.489176
5808.392092,1574.043168,6828.179805,2017.949071,6584.41121,1904.528298,7056.559242,2119.972762,6668.710452,1937.679557,6365.180981,1796.814671,7140.818333,2136.569901,7326.24053,2194.603963,6921.568028,2020.579214,6533.719238,1838.286009,6078.495297,1655.958389,5673.80272,1473.65658
6507.700866,1889.060694,7644.120989,2418.842621,7376.972653,2277.400371,7849.060458,2468.013656,7478.095608,2302.283174,6972.26,2086.821503,7730.933108,2376.905771,7916.214772,2377.000416,7444.106892,2178.110072,7039.454466,2012.362382,6584.230525,1830.034762,6247.033555,1697.429727
7207.044332,2218.380978,8343.395072,2719.557388,8169.473869,2625.441265,8506.731068,2782.877479,8034.542883,2550.878896,7528.707275,2335.417225,8253.451895,2526.15957,8506.108711,2526.28863,8185.715376,2377.13808,7629.328329,2153.373537,7140.356584,1946.197529,6870.594992,1838.458089
8081.232337,2633.607024,8955.246885,2977.319273,8928.187129,2932.079653,9029.290007,2948.685396,8557.202203,2758.072112,8034.482655,2526.047717,8742.222879,2650.564981,9011.703407,2642.425585,9078.857721,2551.412345,8303.461282,2310.981831,7763.897946,2078.948832,7224.495219,1913.132311
9013.701855,3077.468322,9741.908546,3306.684161,9788.023344,3263.600844,9653.012054,3155.930236,9164.020233,2940.477169,8472.722276,2650.427317,9399.552197,2824.71879,9635.264845,2783.453948,10005.66757,2717.426759,9331.374005,2493.601988,8370.555368,2195.137412,7645.770596,1987.840948
9596.447603,3335.215341,10703.31067,3679.046532,10479.18077,3495.711279,10411.60486,3412.906266,9737.110536,3106.310898,9079.480078,2808.001194,10191.65189,3007.218491,10427.26416,2924.56835,10898.78984,2883.423965,10460.34945,2676.273769,9145.630591,2303.134972,8370.29438,2087.535636
10062.69971,3564.29737,11457.28487,3976.279771,11271.48122,3760.981576,11186.98122,3645.059721,10495.58288,3313.62457,9719.945532,2973.86934,11000.59537,3189.726796,11067.64931,3057.328257,11674.08589,3082.469181,11286.11665,2850.513618,9684.792406,2369.626777,9111.682027,2195.515988
10616.27001,3793.424002,12283.4335,4307.783754,12013.23024,4017.949002,11743.22774,3810.884846,11287.76288,3529.23251,10461.51386,3156.343229,11691.59219,3355.620753,11724.95855,3223.205007,12314.63165,3281.445565,11842.28286,2983.230505,10510.37892,2469.37309,9836.145583,2270.379498
11257.26258,4065.503514,12957.9479,4622.656181,12738.25592,4324.570181,12198.4316,3984.935407,11810.30175,3686.763368,11186.19826,3322.254394,12180.4234,3504.857343,12180.06204,3355.87027,12668.75272,3447.167442,12314.29036,3140.735551,11083.30861,2568.990342,10291.08846,2336.828283
11927.36121,4337.597895,13750.52942,5003.805314,13564.44472,4672.628283,12872.80547,4241.868417,12316.03697,3860.839741,11843.48742,3479.854084,12534.45412,3633.332452,12517.27908,3496.752364,13006.11029,3645.988954,12617.81983,3281.600437,11504.64422,2668.530158,10813.46672,2428.142664
12597.56392,4652.600552,14441.98799,5360.071643,14306.45472,5037.197485,13361.77721,4449.044425,12737.57334,4043.150153,12315.47485,3629.08207,12854.81735,3770.067413,12837.69249,3654.179974,13377.21568,3869.658853,12904.58582,3455.564958,11909.19626,2792.892549,11335.9052,2544.288223
14229.44629,5454.387654,15268.45784,5824.00858,14947.42208,5409.992121,13834.00555,4697.597127,13091.65425,4192.317911,12635.86818,3778.23262,13259.63038,4002.031579,13141.30227,3828.153099,13714.59333,4076.757425,13107.11279,3621.209399,12229.56952,2933.766039,11740.45724,2668.650614
15249.51153,6012.715629,15976.78027,6188.560574,15655.7445,5774.544115,14323.0576,4937.881373,13445.81547,4374.593908,13091.1925,4001.945539,13613.85182,4209.138755,13512.40765,4051.822997,14051.87061,4242.470698,13360.1109,3762.048473,12465.76399,3091.150629,12060.79035,2792.969985
16298.68284,6571.058471,16398.31664,6370.870986,16195.26769,5990.022994,14761.53813,5161.585688,14052.97479,4697.708979,13496.04569,4250.463825,13968.01304,4391.414752,13832.90137,4242.358846,14473.34674,4399.949932,13596.26522,3902.878944,12701.99862,3265.089338,12296.90452,2917.246336
