0.0001 atm,,0.001 atm,,0.01 atm,,0.1 atm,,1 atm,,10 atm,,100 atm,
T,E,T,E,T,E,T,E,T,E,T,E,T,E
3042.172981,6.951501155,3591.136526,6.581986143,3751.250893,6.397228637,4643.316655,6.258660508,4894.924946,5.889145497,6130.092924,6.073903002,6198.713367,5.150115473
3179.413867,6.905311778,3728.377412,6.62817552,4002.859185,6.443418014,4826.304503,6.443418014,5123.659757,5.981524249,6404.574696,6.351039261,6541.815583,5.334872979
3316.654753,6.812933025,3865.618299,6.720554273,4185.847034,6.48960739,4986.418871,6.720554273,5375.268049,6.166281755,6610.436026,6.581986143,6907.791279,5.658198614
3453.89564,6.812933025,3979.985704,6.859122402,4345.961401,6.62817552,5100.786276,7.043879908,5535.382416,6.397228637,6770.550393,6.905311778,7296.640457,5.935334873
3568.263045,6.905311778,4071.479628,7.043879908,4414.581844,6.766743649,5238.027162,7.367205543,5695.496783,6.62817552,6907.791279,7.182448037,7662.616154,6.304849885
3682.63045,7.090069284,4162.973553,7.321016166,4528.949249,7.043879908,5352.394568,7.782909931,5832.73767,6.951501155,7022.158685,7.505773672,7982.844889,6.812933025
3774.124375,7.367205543,4254.467477,7.598152425,4620.443174,7.27482679,5489.635454,8.290993072,5969.978556,7.27482679,7159.399571,7.875288684,8257.326662,7.27482679
3842.744818,7.644341801,4345.961401,8.013856813,4734.810579,7.598152425,5581.129378,8.752886836,6084.345961,7.598152425,7296.640457,8.244803695,8508.934954,7.736720554
3911.365261,8.013856813,4414.581844,8.383371824,4803.431022,7.967667436,5649.749821,9.168591224,6221.586848,8.060046189,7433.881344,8.660508083,8760.543245,8.198614319
3957.112223,8.429561201,4437.455325,8.70669746,4894.924946,8.475750577,5741.243746,9.676674365,6358.827734,8.56812933,7548.248749,9.030023095,8920.657613,8.56812933
4002.859185,8.891454965,4483.202287,9.122401848,4963.54539,8.937644342,5809.864189,10.18475751,6473.195139,9.030023095,7708.363117,9.445727483,9103.645461,8.937644342
4071.479628,9.307159353,4528.949249,9.630484988,5032.165833,9.445727483,5878.484632,10.60046189,6587.562545,9.491916859,7868.477484,9.953810624,9286.63331,9.260969977
4117.22659,9.769053118,4597.569693,10.04618938,5100.786276,9.907621247,5947.105075,11.10854503,6679.056469,9.861431871,8005.71837,10.41570439,9469.621158,9.584295612
4140.100071,10.18475751,4643.316655,10.64665127,5192.2802,10.64665127,6015.725518,11.5704388,6770.550393,10.27713626,8165.832738,10.87759815,9652.609006,9.953810624
4185.847034,10.64665127,4689.063617,11.20092379,5260.900643,11.38568129,6084.345961,11.98614319,6862.044317,10.69284065,8348.820586,11.38568129,9835.596855,10.27713626
4208.720515,11.10854503,4734.810579,11.70900693,5352.394568,12.03233256,6152.966405,12.44803695,6930.664761,11.01616628,8508.934954,11.84757506,10064.33167,10.73903002
4254.467477,11.5704388,4780.557541,12.26327945,5421.015011,12.86374134,6221.586848,12.90993072,6999.285204,11.38568129,8669.049321,12.30946882,10315.93996,11.06235566
4300.214439,11.98614319,4826.304503,12.95612009,5489.635454,13.46420323,6290.207291,13.46420323,7090.779128,11.80138568,8874.91065,12.67898383,10590.42173,11.47806005
4323.08792,12.49422633,4872.051465,13.60277136,5558.255897,14.01847575,6404.574696,13.926097,7182.273052,12.30946882,9080.77198,13.00230947,10864.9035,11.70900693
4345.961401,13.00230947,4917.798427,14.38799076,5626.87634,14.8960739,6518.942102,14.57274827,7273.766976,12.72517321,9378.127234,13.3256351,11139.38528,11.84757506
4391.708363,13.64896074,4986.418871,14.84988453,5741.243746,15.54272517,6633.309507,15.08083141,7365.260901,13.18706697,9629.735525,13.46420323,11345.2466,11.93995381
4414.581844,14.20323326,5032.165833,15.54272517,5832.73767,16.32794457,6770.550393,15.63510393,7433.881344,13.60277136,9904.217298,13.60277136,11619.72838,12.03233256
4460.328806,14.84988453,5100.786276,16.23556582,5947.105075,17.0669746,6884.917798,16.09699769,7571.12223,14.01847575,10224.44603,13.74133949,11939.95711,12.07852194
4506.075768,15.54272517,5169.406719,16.88221709,6061.47248,17.71362587,6999.285204,16.51270208,7776.98356,14.43418014,10544.67477,13.78752887,12260.18585,12.07852194
4551.822731,16.05080831,5215.153681,17.52886836,6175.839886,18.08314088,7113.652609,16.83602771,7982.844889,14.7113164,10887.77698,13.78752887,12534.66762,12.12471132
4574.696212,16.65127021,5283.774124,18.08314088,6290.207291,18.22170901,7228.020014,17.02078522,8234.453181,14.8960739,11276.62616,13.74133949,12854.89635,12.21709007
4643.316655,17.34411085,5375.268049,18.72979215,6381.701215,18.31408776,7342.38742,17.15935335,8531.808435,14.98845266,11551.10793,13.69515012,13175.12509,12.26327945
4689.063617,17.99076212,5466.761973,19.28406467,6496.06862,18.31408776,7433.881344,17.20554273,8783.416726,15.03464203,11917.08363,13.64896074,13403.8599,12.3556582
4711.937098,18.68360277,5512.508935,19.65357968,6610.436026,18.22170901,7548.248749,17.15935335,9057.898499,15.03464203,12145.81844,13.64896074,13632.59471,12.3556582
4803.431022,19.56120092,5604.002859,19.88452656,6701.92995,18.12933025,7662.616154,17.02078522,9378.127234,14.98845266,12488.92066,13.64896074,13929.94996,12.40184758
4849.177984,20.16166282,5695.496783,19.97690531,6816.297355,18.0369515,7822.730522,16.88221709,9629.735525,14.94226328,12763.40243,13.74133949,14204.43174,12.40184758
4917.798427,20.76212471,5764.117227,20.02309469,6953.538242,17.89838337,7982.844889,16.74364896,9949.96426,14.84988453,13152.25161,13.83371824,14456.04003,12.44803695
4940.671909,21.27020785,5855.611151,20.02309469,7113.652609,17.80600462,8120.085776,16.60508083,10224.44603,14.84988453,13449.60686,14.01847575,14593.28091,12.44803695
4986.418871,21.54734411,5901.358113,19.97690531,7319.513939,17.62124711,8303.073624,16.42032333,10476.05432,14.84988453,13678.34167,14.20323326,14982.13009,12.44803695
5055.039314,21.73210162,5992.852037,19.88452656,7502.501787,17.52886836,8577.555397,16.23556582,10704.78914,14.8960739,13907.07648,14.43418014,,
5123.659757,21.82448037,6084.345961,19.74595843,7639.742673,17.39030023,8829.163688,16.14318707,10933.52395,14.98845266,14112.93781,14.7113164,,
5215.153681,21.82448037,6267.33381,19.56120092,7845.604003,17.29792148,8989.278056,16.05080831,11139.38528,15.12702079,14318.79914,15.03464203,,
5306.647605,21.77829099,6450.321658,19.37644342,8120.085776,17.34411085,9218.012866,16.14318707,11299.49964,15.26558891,14501.78699,15.21939954,,
5398.14153,21.63972286,6633.309507,19.14549654,8325.947105,17.34411085,9492.494639,16.23556582,11482.48749,15.45034642,14684.77484,15.40415704,,
5512.508935,21.45496536,6793.423874,18.96073903,8486.061472,17.43648961,9698.355969,16.42032333,11619.72838,15.63510393,14867.76269,15.54272517,,
5695.496783,21.1778291,6953.538242,18.77598152,8623.302359,17.57505774,9904.217298,16.60508083,11779.84274,15.77367206,14959.25661,15.58891455,,
5947.105075,20.71593533,7113.652609,18.68360277,8760.543245,17.75981524,10110.07863,16.83602771,11917.08363,15.95842956,,,,
6244.460329,20.25404157,7228.020014,18.63741339,8897.784132,18.0369515,10315.93996,17.2517321,12077.198,16.18937644,,,,
6473.195139,19.93071594,7319.513939,18.63741339,9057.898499,18.36027714,10498.92781,17.71362587,12237.31237,16.42032333,,,,
6564.689064,19.93071594,7411.007863,18.63741339,9195.139385,18.72979215,10727.66262,18.17551963,12397.42673,16.69745958,,,,
