322900 ft,,294800 ft,,259700 ft,,230400 ft,,200100 ft,,173500 ft,,154800 ft,,120300 ft,,100000 ft,,82200 ft,,59800 ft,,35900 ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
11239.77672,12.78787879,10633.53018,11.74891775,9634.280648,9.792207792,8600.779032,8.251082251,8065.903803,7.350649351,9097.40866,8.216450216,8616.625101,7.61038961,9185.086829,7.87012987,9913.724412,8.303030303,10179.93325,8.337662338,9877.219575,7.956709957,9325.986287,7.523809524
11364.16452,12.85714286,10793.80843,11.95670996,9936.891928,10.13852814,8867.755857,8.545454545,8297.246171,7.593073593,9346.542657,8.476190476,8865.605501,7.818181818,9469.804083,8.164502165,10304.88424,8.597402597,10499.92657,8.562770563,10197.21289,8.181818182,9592.604719,7.696969697
11470.76069,12.90909091,11007.25677,12.14718615,10168.43909,10.45021645,9134.732681,8.83982684,8528.58854,7.835497835,9649.000341,8.770562771,9114.6883,8.060606061,9789.950997,8.441558442,10767.10819,8.926406926,10890.88161,8.787878788,10605.95956,8.424242424,9930.13367,7.852813853
11612.73533,12.92640693,11202.91349,12.32034632,10399.93506,10.74458874,9437.39516,9.203463203,8813.305794,8.12987013,9951.560422,9.0995671,9346.081867,8.32034632,10163.4728,8.770562771,11229.22974,9.220779221,11299.67947,9.047619048,10925.85047,8.614718615,10143.42842,7.991341991
11754.65877,12.92640693,11416.25943,12.47619048,10649.17145,11.03896104,9739.955241,9.532467532,9044.648162,8.372294372,10289.49896,9.393939394,9577.424236,8.562770563,10572.52665,9.116883117,11637.9764,9.463203463,11672.84287,9.255411255,11263.53302,8.822510823,10463.16574,8.12987013
11860.99895,12.89177489,11593.97092,12.58008658,10916.09708,11.31601732,10060.25575,9.861471861,9293.833358,8.649350649,10627.48871,9.705627706,9826.404636,8.770562771,10928.05203,9.359307359,12099.89316,9.688311688,12081.53834,9.480519481,11654.43686,9.03030303,10818.63991,8.354978355
12073.6793,12.82251082,11753.83958,12.64935065,11200.71193,11.57575758,10380.50506,10.17316017,9507.486496,8.909090909,10965.42725,10,10146.65395,9.082251082,11283.6286,9.619047619,12543.96708,9.878787879,12454.54815,9.636363636,12009.75744,9.203463203,11209.39015,8.510822511
12303.94649,12.7012987,11895.86542,12.68398268,11360.78539,11.71428571,10700.90797,10.53679654,9756.569294,9.151515152,11303.21219,10.24242424,10431.32,9.359307359,11639.15398,9.861471861,13023.47067,10.05194805,12791.9747,9.757575758,12347.23519,9.341991342,11564.71073,8.683982684
12481.0436,12.5974026,12020.04842,12.68398268,11591.82057,11.85281385,11038.84652,10.83116883,9970.171233,9.393939394,11640.99714,10.48484848,10715.83246,9.584415584,12030.05781,10.06926407,13467.3398,10.17316017,13200.36297,9.878787879,12737.88303,9.463203463,11991.04423,8.874458874
12640.40027,12.49350649,12179.55869,12.63203463,11805.01291,11.95670996,11394.47429,11.10822511,10219.30523,9.653679654,12031.95217,10.70995671,11035.82578,9.80952381,12474.18294,10.27705628,13822.35318,10.24242424,13626.49167,10,13093.05001,9.584415584,12381.74327,9.012987013
12799.80814,12.40692641,12356.70699,12.54545455,11982.62201,12.02597403,11625.56066,11.26406926,10557.34617,9.982683983,12333.94907,10.84848485,11338.12986,10.05194805,12882.67361,10.43290043,14212.74503,10.27705628,13981.45386,10.05194805,13483.59546,9.670995671,12807.97437,9.168831169
12941.47558,12.32034632,12516.01247,12.42424242,12195.71195,12.0952381,11821.11498,11.4025974,10895.33591,10.29437229,12635.79236,10.93506494,11675.81241,10.25974026,13202.20613,10.5021645,14638.66894,10.32900433,14336.31365,10.06926407,13945.05142,9.74025974,13216.36264,9.29004329
13100.98585,12.26839827,12675.31794,12.3030303,12337.63539,12.0952381,12052.04776,11.50649351,11286.59814,10.62337662,12866.46915,10.95238095,12066.66505,10.45021645,13468.36378,10.51948052,15135.50336,10.36363636,14638.00335,10.1038961,14441.98824,9.80952381,13589.21885,9.393939394
13225.11766,12.25108225,12834.62341,12.18181818,12479.45643,12.06060606,12282.92933,11.59307359,11553.31897,10.83116883,13097.09473,10.95238095,12457.51769,10.64069264,13805.32954,10.48484848,15579.21889,10.43290043,15117.04615,10.12121212,14867.86095,9.844155844,13944.18104,9.445887446
13349.30066,12.25108225,12976.29085,12.0952381,12638.9155,11.99134199,12424.90397,11.61038961,11944.27401,11.05627706,13380.73681,10.88311688,12848.06313,10.72727273,14106.81444,10.45021645,15916.59425,10.53679654,15472.05953,10.19047619,15276.14682,9.930735931,14352.36451,9.497835498
13491.2753,12.26839827,13188.92001,12.00865801,12869.13149,11.85281385,12619.99749,11.59307359,12121.98549,11.16017316,13646.74085,10.84848485,13185.28489,10.77922078,14461.62303,10.45021645,16342.72295,10.65800866,15951.30712,10.27705628,15826.35613,10.01731602,14689.63747,9.567099567
13615.6631,12.33766234,13348.48148,11.97402597,13170.3604,11.73160173,12814.98862,11.54112554,12299.54339,11.21212121,13948.22575,10.81385281,13469.02936,10.74458874,14710.09144,10.48484848,16804.38371,10.7965368,16359.69539,10.3982684,16376.66784,10.13852814,15133.30181,9.619047619
13757.79133,12.40692641,13525.93697,11.99134199,13471.69171,11.64502165,13134.06036,11.45454545,12494.79051,11.24675325,14214.4346,10.84848485,13735.03341,10.70995671,15047.4156,10.57142857,17212.87438,10.95238095,16768.08366,10.51948052,16767.31568,10.25974026,15523.74485,9.670995671
13899.97076,12.49350649,13738.92453,12.02597403,13719.95532,11.61038961,13435.44286,11.38528139,12636.71394,11.24675325,14516.17549,10.9004329,14054.20754,10.65800866,15349.2077,10.64069264,17657.0507,11.17748918,17087.76979,10.64069264,17175.70395,10.38095238,15967.46038,9.74025974
14059.94182,12.5974026,13969.8573,12.12987013,13932.84048,11.61038961,13719.13614,11.33333333,12814.11824,11.24675325,14800.22716,10.96969697,14355.89724,10.69264069,15651.05099,10.72727273,18136.60548,11.36796537,17514.00089,10.7965368,17655.10514,10.51948052,16411.27832,9.844155844
14220.06648,12.75324675,14200.84128,12.25108225,14110.39837,11.66233766,13985.29378,11.35064935,12991.36894,11.19480519,15048.90037,11.07359307,14728.65106,10.76190476,15988.42635,10.83116883,18527.45812,11.55844156,17869.21907,10.93506494,18134.65992,10.70995671,16855.09625,9.948051948
14451.15285,12.90909091,14467.45971,12.42424242,14359.02038,11.74891775,14198.17893,11.35064935,13221.78973,11.12554113,15368.58649,11.19480519,15048.28598,10.86580087,16343.64453,10.96969697,18936.10239,11.76623377,18224.48845,11.09090909,18667.3336,10.86580087,17298.91418,10.05194805
14629.06914,13.08225108,14645.3248,12.58008658,14678.8601,11.92207792,14500.02223,11.43722944,13470.05334,11.09090909,15688.32381,11.33333333,15438.98502,11.004329,16716.65434,11.12554113,19380.12511,11.93939394,18526.48534,11.22943723,19182.31805,11.03896104,17671.77039,10.15584416
14842.51748,13.27272727,14894.2028,12.75324675,14980.90819,12.07792208,14730.90381,11.52380952,13682.8361,11.05627706,15972.63148,11.48917749,15883.05895,11.19480519,17071.87252,11.26406926,19877.52273,12.16450216,18935.02721,11.4025974,19626.34077,11.21212121,18044.729,10.29437229
15091.65148,13.53246753,15214.19612,12.97835498,15247.57782,12.26839827,15032.9519,11.67965368,13877.87842,11.02164502,16310.21163,11.66233766,16273.91158,11.38528139,17498.25722,11.47186147,20410.4524,12.40692641,19201.44085,11.50649351,20141.37642,11.4025974,18453.01488,10.38095238
15358.5259,13.79220779,15552.18586,13.29004329,15620.89482,12.52813853,15246.14425,11.78354978,14073.12555,11.05627706,16612.31092,11.83549784,16647.07499,11.59307359,17853.5266,11.62770563,21032.13541,12.66666667,19538.9186,11.64502165,20656.46326,11.61038961,18914.67563,10.51948052
15607.6087,14.03463203,15765.7366,13.51515152,15976.5226,12.80519481,15512.71148,11.93939394,14357.12602,11.10822511,16932.25304,12.04329004,16966.81231,11.73160173,18137.83426,11.78354978,21582.75431,12.89177489,19894.08558,11.76623377,21135.96684,11.78354978,19323.06391,10.64069264
15838.95107,14.27705628,16121.41557,13.80952381,16314.25634,13.03030303,15726.00623,12.07792208,14694.45017,11.19480519,17323.20807,12.26839827,17251.11998,11.88744589,18439.88235,11.93939394,21955.66173,13.01298701,20213.8229,11.9047619,21579.98957,11.95670996,19784.72466,10.77922078
16087.93147,14.48484848,16406.03043,14.06926407,16705.51857,13.35930736,16028.10552,12.25108225,15014.13629,11.31601732,17660.89062,12.47619048,17535.47884,12.06060606,18706.39838,12.07792208,22477.01112,13.22380766,20569.04108,12.04329004,21935.36135,12.14718615,20352.9304,10.95238095
16337.06547,14.74458874,16708.38571,14.32900433,17061.19754,13.65367965,16188.17898,12.38961039,15262.8607,11.43722944,18051.89685,12.71861472,17908.53985,12.23376623,18972.91442,12.21645022,23401.04031,13.56391712,20959.68893,12.16450216,22267.17379,12.21295934,20850.17441,11.12554113
16532.82458,14.95238095,16975.20894,14.57142857,17381.19086,13.87878788,16383.73329,12.52813853,15600.44085,11.61038961,18460.69472,12.97835498,18317.23531,12.45887446,19292.65174,12.35497835,24404.31435,13.90431978,21350.43917,12.32034632,23085.6952,12.44908131,21347.36723,11.28138528
16746.27292,15.14285714,17241.98097,14.7965368,17683.44375,14.1038961,16597.07924,12.68398268,16044.61717,11.83549784,18922.71387,13.23809524,18708.19035,12.68398268,19665.86635,12.58008658,25486.90926,14.19321736,21776.67026,12.47619048,23851.38672,12.68500782,21791.33876,11.43722944
16995.35572,15.38528139,17526.59582,15.05627706,18039.07152,14.38095238,16845.90604,12.83982684,16257.91192,11.97402597,19668.98948,13.63636364,19028.03007,12.85714286,20163.26396,12.80519481,26384.71353,14.40373339,21954.27935,12.54545455,24590.66328,12.92083659,21968.94785,11.50649351
17280.02177,15.66233766,17900.01522,15.35064935,18412.49092,14.67532468,17077.04361,13.01298701,16524.53035,12.14718615,20237.60481,13.94805195,19365.66142,13.04761905,20589.54626,12.97835498,27467.49848,14.56313526,21976.00122,12.62627052,25620.58031,13.10594214,22716.9881,11.696638
17529.05337,15.88744589,18166.73605,15.55844156,18785.75673,14.91774892,17290.38956,13.16883117,16826.68084,12.33766234,20806.22013,14.25974026,19685.55234,13.23809524,21175.79961,13.25541126,28391.90774,14.64425332,22900.06841,12.94048084,26360.0089,13.23817435,23535.47151,11.95865911
17760.39574,16.12987013,18433.61048,15.81818182,19141.3333,15.17748918,17468.25464,13.32467532,17093.24807,12.49350649,21481.38043,14.60606061,19987.60043,13.39393939,21584.39268,13.44588745,29342.84597,14.6477717,23929.75741,13.28098124,27125.89045,13.34460516,24274.82408,12.1426896
18044.9594,16.37229437,18753.7574,16.0952381,19567.97399,15.47186147,17734.82187,13.48051948,17377.65813,12.68398268,21978.82924,14.84848485,20307.49135,13.58441558,21939.66206,13.6017316,29976.8428,14.62421814,24801.10872,13.51729867,28103.09161,13.45181783,25067.04457,12.30101642
18276.35297,16.63203463,19091.64474,16.37229437,19994.61468,15.76623377,17948.16782,13.63636364,17697.54905,12.87445887,22104.61732,14.98358092,20627.33107,13.75757576,22291.38433,13.71520719,30690.19851,14.52326036,25566.83824,13.72732604,28869.08718,13.48055121,25832.8501,12.4592455
18596.44868,16.89177489,19500.5962,16.68398268,20385.67211,16.02597403,18179.25419,13.79220779,17999.69954,13.06493506,22922.87269,15.40099687,20982.65165,13.93073593,23057.03783,13.97703284,31271.51746,14.39591478,26279.85188,13.85946052,29476.66906,13.45689992,26704.31544,12.61786552
18827.73985,17.11688312,19980.81657,17.0995671,20758.98912,16.28571429,18534.72837,14.01731602,18319.69286,13.29004329,23714.86513,15.71471853,21320.2318,14.1038961,23769.86144,14.23866302,32090.60898,14.24354965,27019.28047,13.99169273,30163.49579,13.43354183,27866.38324,12.75166145
19147.93796,17.41125541,20585.37354,17.56709957,21292.12358,16.5974026,18908.04537,14.27705628,18764.02278,13.56709957,24454.02767,16.02824472,21640.07152,14.27705628,24641.25076,14.44908131,32645.51299,14.11610633,27785.16202,14.09812353,,,28711.54765,12.83248632
19414.76119,17.65367965,20887.62643,17.79220779,21700.97264,16.87445887,19316.84324,14.53679654,19154.97782,13.79220779,25298.92603,16.29036357,21959.80884,14.41558442,25644.56281,14.76358483,33411.85062,13.91174746,28683.23234,14.12734558,,,,
19663.84399,17.8961039,21914.20163,18.73827209,21967.53988,17.03030303,19707.84947,14.77922078,19563.72448,14.03463203,26143.86239,16.52658327,22131.67839,14.54339328,26463.12223,14.97380766,34151.7353,13.73318999,29660.58553,14.13096169,,,,
20355.90956,18.60301016,22996.18843,19.4415559,22101.23469,17.28860438,20098.8557,15.02164502,19954.73071,14.27705628,27120.94953,16.71149335,23214.00725,15.01358483,27387.37946,15.15852228,34970.78881,13.606724,30690.84463,14.08297498,,,,
21147.3319,19.30521892,24263.00387,20.19732213,22919.33802,17.80961689,20489.86194,15.26406926,20381.21781,14.51948052,27622.75758,16.76514855,24375.58097,15.48406959,28258.95882,15.23944488,35287.84424,13.55609851,31351.40844,13.9559226,,,,
21754.15364,19.79955043,25635.66914,20.82398358,23499.97285,18.14845582,20792.01243,15.45454545,20807.7049,14.76190476,28098.2267,16.76690774,25801.30419,15.95553167,28892.91764,15.24179046,,,32381.89558,13.75254105,,,,
22387.39032,20.29397967,26744.75502,21.06118061,24318.22822,18.56587177,21165.27823,15.6969697,21109.75299,14.91774892,28547.31887,16.74267005,26804.80627,16.14053948,29711.85714,15.19302189,,,33016.12045,13.57359265,,,,
23020.66502,20.76250977,27035.28147,21.08815481,24925.39202,18.82711102,21520.65001,15.88744589,21411.90348,15.10822511,28970.0341,16.6924355,27623.51772,16.24716575,30557.36361,15.0407545,,,,,,,,
23680.35466,21.23113761,27405.12879,21.06362392,25611.83868,19.06274433,21858.28136,16.07792208,21731.692,15.26406926,29392.82534,16.59040266,28151.77873,16.27501955,31402.90809,14.86258796,,,,,,,,
24366.57328,21.62216575,27775.05212,20.98729476,26351.15324,19.27267396,22000.46079,16.16450216,21962.67598,15.38528139,29815.65459,16.46247068,28600.87091,16.25078186,32248.49057,14.65852228,,,,,,,,
25000.03801,21.96120016,28171.50443,20.83336591,26720.88654,19.3258405,22128.97989,16.38223221,22657.96304,15.91800235,30238.52185,16.30863956,29129.24594,16.20093823,32988.45126,14.42816654,,,,,,,,
25554.40991,22.1963448,28568.10877,20.5758405,27143.48775,19.35330336,22867.9904,16.79935496,23687.46199,16.38799844,30608.59721,16.12871384,29604.86708,16.09910086,33781.20385,14.22390539,,,,,,,,
26240.93259,22.38017983,28859.16732,20.24022674,27539.71201,19.35476935,23633.49188,17.16477717,24611.41517,16.77990618,31057.95543,15.92318217,30133.35614,15.97155981,34705.87916,14.12372948,,,,,,,,
26742.74064,22.43383503,29123.84893,19.87861611,27962.38924,19.33043393,24214.20272,17.45181783,25429.82256,17.09372557,31507.31366,15.71765051,30556.18539,15.84362783,35524.89467,14.02316263,,,,,,,,
27191.83281,22.40959734,29388.53054,19.51700547,28305.85961,19.27990618,24662.99083,17.63477326,26142.76019,17.27765833,32088.70863,15.53850665,30926.22274,15.68960125,36423.07901,13.97468726,,,,,,,,
27509.00226,22.28127443,29626.64517,19.25889367,28728.72687,19.12607506,25164.53284,17.86972244,27014.18752,17.46217748,32617.15967,15.43686474,31322.67505,15.5356724,37294.8104,13.95201329,,,,,,,,
27905.49257,22.10144644,29970.53362,18.92347537,29072.42529,18.92015246,25692.64182,18.00117279,27568.82547,17.51602815,33251.34654,15.28381548,31692.71241,15.38164582,38509.86013,13.98240813,,,,,,,,
28143.53119,21.89513292,30287.81709,18.71745504,29336.87886,18.71393667,26220.7128,18.15852228,28044.3706,17.46598905,33885.38137,15.23436278,32141.99461,15.22791243,,,,,,,,,,
28408.06077,21.63711884,30710.72235,18.53772478,29627.86139,18.43012119,26669.65294,18.23788116,28546.33068,17.41604769,34493.03927,15.15891321,32617.69177,15.07427678,,,,,,,,,,
28778.66823,21.09460516,31080.64569,18.46139562,29865.93802,18.19790852,27118.63109,18.29134089,29233.34745,17.2631939,35655.29711,15.16321345,33119.80388,14.92073886,,,,,,,,,,
29149.19968,20.60388976,31424.07806,18.43676701,30289.07132,17.86278342,27488.36439,18.34450743,29735.53557,17.0578577,36394.80171,15.24364738,33701.08483,14.81929242,,,,,,,,,,
29466.7492,20.21657545,31873.13222,18.43842846,30817.82643,17.5539484,27831.75875,18.34577795,30211.38476,16.80062549,37055.09947,15.29788898,34282.28977,14.76964425,,,,,,,,,,
29863.46755,19.88135262,32374.97828,18.46618452,31452.12731,17.32320172,28228.05903,18.29544566,30740.13987,16.49179046,37873.81092,15.40451525,34969.07849,14.7721853,,,,,,,,,,
30207.20398,19.64953088,32876.78633,18.51983972,32297.63379,17.17093432,28597.94436,18.24501564,31189.5741,16.23446052,38692.56038,15.48524238,35920.01672,14.77570367,,,,,,,,,,
30630.10924,19.46980063,33299.34954,18.57320172,33010.87547,17.14767396,28888.66085,18.14249414,31718.17718,16.02922205,39881.11915,15.56733776,36580.35249,14.80404613,,,,,,,,,,
31105.65437,19.41976153,33748.28968,18.65256059,33776.75702,17.25410477,29205.8683,17.98827209,32299.45813,15.92777561,40937.64117,15.62304535,37346.34806,14.83277952,,,,,,,,,,
31660.25432,19.49951134,34276.39866,18.78401095,34437.05477,17.30834636,29470.32187,17.78205629,32907.19203,15.80052776,41941.29528,15.70445661,38033.06077,14.88711884,,,,,,,,,,
32294.09912,19.57955434,34751.75376,18.86346755,35070.89957,17.38838937,29787.60533,17.57603597,33620.47172,15.75136826,43341.05964,15.86503127,38825.47129,14.91594996,,,,,,,,,,
32769.41621,19.68491009,35306.27769,18.99501564,35651.87647,17.49413604,29999.19099,17.39552385,34307.29845,15.72801016,44212.677,15.92005473,39723.4656,14.99697029,,,,,,,,,,
33191.9414,19.76417123,35966.38541,19.17875293,36470.5119,17.65256059,30369.38038,17.1379007,34809.18252,15.72986708,,,40991.30723,15.05345973,,,,,,,,,,
33772.88029,19.89581704,36705.776,19.33688428,37289.18534,17.785086,30792.36165,16.90637217,35522.4242,15.70660672,,,41942.09343,15.16057467,,,,,,,,,,
34723.47646,20.13242768,37867.72978,19.54837764,38134.19772,17.96950743,31188.85197,16.72654418,36262.00482,15.73524238,,,,,,,,,,,,,,
35462.79103,20.34235731,38871.15585,19.78518374,38768.04252,18.04955043,31638.13418,16.57281079,36869.47268,15.78928851,,,,,,,,,,,,,,
36360.63331,20.5269742,39980.24173,20.02238077,39428.26427,18.1555903,32166.62323,16.44526974,37556.14738,15.86952697,,,,,,,,,,,,,,
37469.60516,20.84186865,41010.12075,20.23338546,40035.65611,18.26143471,32642.16836,16.39523065,38189.95417,15.97546912,,,,,,,,,,,,,,
38552.20007,21.13076622,42039.96178,20.47028929,40616.633,18.36718139,33064.88359,16.34499609,38955.87373,16.05600078,,,,,,,,,,,,,,
39555.58813,21.39347146,43043.46386,20.65529711,41197.6479,18.44702893,33593.1446,16.37284988,39616.13348,16.13614152,,,,,,,,,,,,,,
40453.31639,21.65578577,43941.34415,20.81401486,41831.4927,18.52707193,34227.06542,16.40109461,40249.97828,16.21618452,,,,,,,,,,,,,,
41245.46086,21.86591087,44944.80823,21.02492181,42438.88455,18.63291634,34834.53327,16.45514073,41015.89784,16.29671618,,,,,,,,,,,,,,
42143.18912,22.12822518,45737.06672,21.15734949,43178.31314,18.76514855,35468.45409,16.48338546,41887.4772,16.37763878,,,,,,,,,,,,,,
43093.70928,22.41663409,45921.93337,21.18393276,43812.11993,18.8710907,36234.37364,16.56391712,42679.8117,16.45826818,,,,,,,,,,,,,,
43938.60764,22.67875293,,,44630.71736,19.05541439,36894.63339,16.64405786,43630.67392,16.51358483,,,,,,,,,,,,,,
44757.12905,22.9148749,,,45343.769,19.16164973,37343.57354,16.72341673,44396.63148,16.56821736,,,,,,,,,,,,,,
45443.61372,23.12460907,,,45951.19885,19.241595,37977.45635,16.77756059,45453.15351,16.62392494,,,,,,,,,,,,,,
45866.0629,23.25566849,,,,,38875.37464,16.9103792,45928.54661,16.67748241,,,,,,,,,,,,,,
,,,,,,39614.84124,17.01671228,,,,,,,,,,,,,,,,
,,,,,,40327.89289,17.12294762,,,,,,,,,,,,,,,,
,,,,,,41120.11337,17.28127443,,,,,,,,,,,,,,,,
,,,,,,41938.78681,17.41379984,,,,,,,,,,,,,,,,
,,,,,,42863.00604,17.6244136,,,,,,,,,,,,,,,,
,,,,,,43760.84832,17.80903049,,,,,,,,,,,,,,,,
,,,,,,44605.82269,18.01935106,,,,,,,,,,,,,,,,
,,,,,,45292.34537,18.20318608,,,,,,,,,,,,,,,,
,,,,,,45926.07614,18.36092651,,,,,,,,,,,,,,,,
