0.0001 atm,,0.001 atm,,0.01 atm,,0.1 atm,,1 atm,,10 atm,,100 atm,
T,Z,T,Z,T,Z,T,Z,T,Z,T,Z ,T,Z
4212.298222,1.370324251,5243.449195,1.771067241,5425.6748,1.544931038,6446.69033,1.709708513,6641.059161,1.469138611,6906.85873,1.320135194,7857.061301,1.316300274
4284.115072,1.413737041,5327.293437,1.814492442,5509.480431,1.593171608,6542.600575,1.748330755,6761.02419,1.507785675,7014.912201,1.344323738,8049.345126,1.335760324
4355.931923,1.457149831,5411.137679,1.857917642,5593.286062,1.641412177,6662.526993,1.791793187,6892.939389,1.556075888,7135.031675,1.363709324,8217.574168,1.355195552
4415.721382,1.50055021,5531.14132,1.891749336,5677.091693,1.689652747,6818.496976,1.840108222,7000.877026,1.59471054,7267.13993,1.387922689,8373.737207,1.379433739
4475.549451,1.539135219,5639.15618,1.92075325,5796.902278,1.747561288,6962.439567,1.888410845,7120.803444,1.638172973,7387.182181,1.416939014,8529.900245,1.403671926
4547.250468,1.596994117,5771.264434,1.944966615,5892.69669,1.800629639,7106.45938,1.92708273,7240.729862,1.681635405,7495.235652,1.441127558,8698.013453,1.437553263
4618.951485,1.654853015,5903.4113,1.964364611,6000.634327,1.839264291,7274.495365,1.970594806,7360.694891,1.720282469,7591.184509,1.47493443,8866.165273,1.46661923
4678.702332,1.703068764,6035.596778,1.978947238,6120.599356,1.877911354,7502.784144,1.999722827,7480.698532,1.754114162,7699.199369,1.503938343,8998.234916,1.495647965
4738.414569,1.756099882,6252.012609,1.98880137,6252.630389,1.911755459,7646.997013,2.014317864,7600.663561,1.792761226,7831.230401,1.537782448,9166.386735,1.524713932
4810.154197,1.80914341,6384.236698,1.998568627,6396.766035,1.935981235,7863.490067,2.014541257,7732.655982,1.831420699,7927.217869,1.566773951,9298.456379,1.553742667
4881.971047,1.8525562,6528.526789,2.003532926,6492.869337,1.950526629,8067.955729,2.01475224,7876.714407,1.865277215,8035.232729,1.595777864,9478.558368,1.592451784
4953.903731,1.881522881,6781.024797,2.01342429,6637.043595,1.969937036,8368.601916,2.019877878,8008.822661,1.88949058,8155.274981,1.624794188,9658.698968,1.626345532
5049.852588,1.915329754,6973.385845,2.023253601,6793.283856,1.984544484,8693.264274,2.029843707,8164.9857,1.913728767,8299.294794,1.663466073,9862.817129,1.66989484
