35900 ft,,59800 ft,,82200 ft,,100000 ft,,120300 ft,,154800 ft,,173500 ft,,200100 ft,,230400 ft,,259700 ft,,294800 ft,,322900 ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
8183.098592,6.974683544,8183.098592,6.974683544,8183.098592,6.974683544,8183.098592,6.974683544,8295.774648,7.139240506,9760.56338,8.729957806,9732.394366,8.921940928,9873.239437,9.333333333,9338.028169,9.113924051,10436.61972,10.84177215,10211.26761,11.33544304,13985.91549,12.59704641
8830.985915,7.303797468,8830.985915,7.303797468,8915.492958,7.495780591,9028.169014,7.687763713,8690.140845,7.523206751,10436.61972,9.360759494,10380.28169,9.525316456,10521.12676,9.991561181,10070.42254,9.9092827,11169.01408,11.60970464,10830.98592,12.02109705,14577.46479,13.06329114
9760.56338,7.797468354,9591.549296,7.824894515,9591.549296,7.962025316,9563.380282,8.099156118,9112.676056,7.879746835,11056.33803,9.88185654,11253.52113,10.26582278,11309.85915,10.67721519,10633.80282,10.48523207,12154.92958,12.10337553,11816.90141,12.70675105,15140.84507,13.63924051
10690.14085,8.318565401,10323.94366,8.291139241,10295.77465,8.455696203,10183.09859,8.565400844,9788.732394,8.483122363,11760.56338,10.34810127,12014.08451,10.75949367,12352.11268,11.2257384,11225.35211,11.03375527,13140.84507,11.74683544,12859.15493,12.15822785,15845.07042,14.29746835
11704.22535,8.784810127,11169.01408,8.812236287,11422.53521,9.168776371,11000,9.113924051,10605.6338,9.168776371,12492.95775,10.67721519,12887.32394,11.00632911,13478.87324,11.08860759,11816.90141,11.41772152,14154.92958,11.71940928,13957.74648,12.15822785,16577.46479,15.03797468
12492.95775,9.08649789,12126.76056,9.278481013,12267.60563,9.607594937,11929.57746,9.662447257,11281.69014,9.662447257,13338.02817,10.78691983,13563.38028,10.86919831,14633.80282,11.19831224,12492.95775,11.6371308,14887.32394,12.07594937,14690.14085,12.62447257,17309.85915,15.75105485
13450.70423,9.388185654,13366.19718,9.689873418,13056.33803,9.88185654,12915.49296,10.0464135,12070.42254,10.12869198,14239.43662,10.70464135,14549.29577,10.92405063,15507.04225,11.58227848,13338.02817,11.41772152,15507.04225,12.48734177,15309.85915,13.11814346,17957.74648,16.32700422
14549.29577,9.580168776,14380.28169,9.827004219,13760.56338,10.0464135,13873.23944,10.26582278,12887.32394,10.45780591,15197.1831,10.95147679,15478.87324,11.25316456,16267.60563,11.99367089,14183.09859,11.39029536,16098.59155,12.92616034,15957.74648,13.69409283,18549.29577,16.87552743
15563.38028,9.717299578,15197.1831,9.936708861,14690.14085,10.12869198,15028.16901,10.37552743,13732.39437,10.51265823,15760.56338,11.17088608,16183.09859,11.6371308,17028.16901,12.48734177,15000,11.69198312,16605.6338,13.33755274,16464.78873,14.13291139,19028.16901,17.34177215
16971.83099,10.01898734,16183.09859,10.12869198,15760.56338,10.26582278,16098.59155,10.59493671,14521.12676,10.48523207,16464.78873,11.5,17028.16901,12.13080169,17901.40845,13.06329114,15816.90141,12.15822785,17225.35211,13.83122363,17000,14.62658228,19478.87324,17.78059072
18014.08451,10.29324895,17000,10.37552743,16830.98592,10.59493671,17112.67606,10.95147679,15535.21127,10.70464135,17338.02817,11.96624473,17901.40845,12.67932489,18577.46479,13.47468354,16549.29577,12.67932489,18126.76056,14.48945148,17647.88732,15.17510549,16166.66667,14.74519231
18690.14085,10.48523207,18042.25352,10.70464135,17816.90141,10.95147679,18126.76056,11.41772152,16605.6338,11.08860759,18098.59155,12.40506329,18549.29577,13.03586498,19253.52113,13.88607595,17028.16901,13.00843882,18971.83099,15.092827,18154.92958,15.58649789,17166.66667,15.68509615
19366.19718,10.67721519,19028.16901,11.03375527,18774.64789,11.3628692,18943.66197,11.80168776,17478.87324,11.5,19000,12.89873418,19422.53521,13.52953586,19957.74648,14.29746835,17619.71831,13.44725738,19563.38028,15.50421941,18718.30986,16.08016878,17958.33333,16.50240385
20295.77465,10.97890295,19985.91549,11.39029536,19591.5493,11.69198312,19732.39437,12.15822785,18239.43662,11.85654008,20126.76056,13.5021097,20352.11268,14.05063291,20746.47887,14.73628692,18521.12676,14.05063291,20239.43662,15.97046414,19309.85915,16.57383966,18916.66667,17.40144231
21000,11.19831224,20859.15493,11.71940928,20436.61972,12.02109705,20549.29577,12.48734177,18887.32394,12.21308017,20830.98592,13.88607595,21338.02817,14.5443038,21676.05634,15.25738397,19535.21127,14.70886076,21112.67606,16.51898734,19901.40845,17.04008439,19791.66667,18.17788462
21535.21127,11.39029536,21676.05634,12.04852321,21253.52113,12.32278481,21225.35211,12.78902954,19704.22535,12.62447257,21704.22535,14.32489451,21901.40845,14.84599156,16166.66667,12.00721154,20408.4507,15.25738397,21647.88732,16.84810127,20549.29577,17.58860759,20708.33333,18.99519231
16083.33333,9.71875,16166.66667,10.00480769,21873.23944,12.54219409,21901.40845,13.03586498,20408.4507,12.9535865,16041.66667,11.27163462,16125,11.59855769,17166.66667,12.66105769,21056.33803,15.64135021,16125,12.98798077,16166.66667,13.84615385,21583.33333,19.64903846
17083.33333,10.04567308,17041.66667,10.37259615,16208.33333,10.37259615,16041.66667,10.49519231,21253.52113,13.31012658,16666.66667,11.59855769,17000,12.12980769,18166.66667,13.31490385,21676.05634,15.9978903,17125,13.80528846,17291.66667,14.90865385,22500,20.38461538
18125,10.37259615,18583.33333,10.94471154,17208.33333,10.78125,16916.66667,10.90384615,21901.40845,13.58438819,17458.33333,12.04807692,18041.66667,12.78365385,19416.66667,14.09134615,16083.33333,12.375,18333.33333,14.70432692,18416.66667,15.93028846,23541.66667,21.07932692
19291.66667,10.69951923,20041.66667,11.47596154,18375,11.23076923,17708.33333,11.27163462,16166.66667,10.82211538,18166.66667,12.45673077,19041.66667,13.31490385,20583.33333,14.78605769,16958.33333,13.06971154,19583.33333,15.60336538,19583.33333,16.91105769,24458.33333,21.65144231
20750,11.14903846,21625,12.00721154,19666.66667,11.76201923,18791.66667,11.72115385,16791.66667,11.18990385,19375,13.15144231,20083.33333,13.96875,21791.66667,15.48076923,17916.66667,13.72355769,20625,16.33894231,21166.66667,18.17788462,25666.66667,22.18269231
21875,11.47596154,22708.33333,12.33413462,20916.66667,12.25240385,19958.33333,12.25240385,17791.66667,11.68028846,20541.66667,13.76442308,21166.66667,14.54086538,22875,16.01201923,19083.33333,14.5,21625,16.99278846,22291.66667,18.95432692,27083.33333,22.34615385
23125,11.80288462,24083.33333,12.74278846,22166.66667,12.70192308,21208.33333,12.74278846,18875,12.25240385,22083.33333,14.5,22333.33333,15.11298077,24125,16.58413462,20125,15.19471154,22833.33333,17.72836538,23541.66667,19.8125,28083.33333,21.85576923
24333.33333,12.12980769,25333.33333,13.02884615,23333.33333,13.11057692,22583.33333,13.27403846,20000,12.78365385,23458.33333,15.11298077,23375,15.5625,25500,17.11538462,21375,15.93028846,24291.66667,18.50480769,25041.66667,20.54807692,28791.66667,20.99759615
25375,12.33413462,26875,13.31490385,24625,13.47836538,24083.33333,13.76442308,21166.66667,13.27403846,24708.33333,15.60336538,24458.33333,16.01201923,26833.33333,17.44230769,22500,16.58413462,25583.33333,18.99519231,26416.66667,20.99759615,29333.33333,20.30288462
26333.33333,12.53846154,28125,13.39663462,25750,13.72355769,25625,14.21394231,22625,13.84615385,25916.66667,15.93028846,25833.33333,16.46153846,28250,17.40144231,23541.66667,17.11538462,26875,19.28125,27583.33333,20.99759615,30166.66667,19.56730769
27250,12.66105769,29333.33333,13.39663462,27000,13.92788462,26916.66667,14.45913462,24250,14.33653846,27250,16.17548077,27291.66667,16.70673077,29625,17.03365385,25041.66667,17.81009615,27958.33333,19.28125,28541.66667,20.50721154,31250,19.36298077
28375,12.74278846,30166.66667,13.35576923,28416.66667,14.05048077,28250,14.62259615,25625,14.74519231,28666.66667,16.17548077,29000,16.58413462,30750,16.37980769,26708.33333,18.21875,29041.66667,18.83173077,29041.66667,19.85336538,32666.66667,19.60817308
,,,,29625,14.05048077,29666.66667,14.58173077,27333.33333,15.11298077,30000,15.93028846,30291.66667,16.17548077,32083.33333,15.88942308,28083.33333,18.30048077,29916.66667,18.05528846,29791.66667,19.03605769,34041.66667,19.89423077
,,,,30708.33333,13.96875,30916.66667,14.37740385,28916.66667,15.19471154,31291.66667,15.43990385,31333.33333,15.72596154,33625,15.64423077,29375,17.76923077,31000,17.40144231,30833.33333,18.42307692,35416.66667,20.26201923
,,,,31666.66667,13.84615385,31875,14.21394231,30500,14.99038462,32416.66667,15.03125,32500,15.35817308,35250,15.60336538,30250,17.11538462,32041.66667,17.11538462,32125,18.38221154,36375,20.50721154
