35900 ft,,59800 ft,,82200 ft,,100000 ft,,120300 ft,,154800 ft,,173500 ft,,200100 ft,,230400 ft,,259700 ft,,294800 ft,,322900 ft,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
17775.94728,7291.970803,18991.76277,7335.766423,18576.60626,6883.211679,17538.71499,6299.270073,17420.09885,6021.89781,16797.36409,5554.744526,16411.86161,5306.569343,8316.30972,2503.649635,19555.18946,5437.956204,21304.77759,5350.364964,17262.69956,4420.047733,16348.33091,4033.412888
16000,6353.221957,16043.54136,6138.424821,19347.6112,7102.189781,18191.10379,6489.051095,17894.56343,6182.481752,17420.09885,5715.328467,16915.98023,5452.554745,7426.688633,2255.474453,20326.1944,5540.145985,16348.33091,4591.885442,18264.15094,4548.926014,17872.27866,4226.73031
16653.12046,6675.417661,16870.82729,6503.579952,20059.30807,7306.569343,18754.53048,6649.635036,18784.18451,6401.459854,17864.90939,5802.919708,17568.36903,5583.941606,16478.95501,5064.439141,21186.16145,5671.532847,18220.60958,4914.081146,19744.55733,4720.763723,19178.51959,4355.608592
17698.11321,7169.451074,17567.48911,6761.336516,20593.08072,7437.956204,19495.88138,6854.014599,19614.49753,6591.240876,18457.99012,5934.306569,18517.29819,5773.722628,17393.32366,5279.236277,21719.9341,5729.927007,20092.88824,5171.837709,21486.2119,4892.601432,21137.88099,4527.446301
18786.64731,7620.52506,18351.23367,7040.572792,16043.54136,5880.668258,20118.61614,7014.59854,20326.1944,6751.824818,19110.37891,6080.291971,19377.26524,5934.306569,18656.02322,5536.99284,16217.70682,4806.682578,21834.54282,5386.634845,23227.86647,5021.479714,22923.07692,4677.804296
19657.4746,7964.200477,19526.85051,7448.687351,16609.5791,6138.424821,20533.77265,7116.788321,21008.23723,6897.810219,19792.42175,6197.080292,19940.69193,6036.49635,19701.01597,5730.310263,17088.53411,5000,23576.19739,5579.952267,25056.60377,5236.27685,24272.85922,4806.682578
20615.38462,8307.875895,20354.13643,7706.443914,17393.32366,6417.661098,21097.19934,7248.175182,21660.62603,7043.79562,20415.15651,6313.868613,20474.46458,6124.087591,21268.50508,5966.587112,18568.94049,5257.756563,24795.35559,5751.789976,26493.4688,5451.073986,25666.18287,5000
21616.83599,8630.071599,21355.58781,8028.639618,18264.15094,6718.377088,21630.97199,7379.562044,16130.62409,5558.472554,20978.5832,6416.058394,20978.5832,6211.678832,22400.58055,6116.945107,20441.21916,5536.99284,26188.67925,5966.587112,27582.0029,5708.830549,26798.25835,5236.27685
22661.82874,8995.22673,22226.41509,8264.916468,19309.14369,7040.572792,16130.62409,5730.310263,17219.1582,5923.627685,21542.00988,6518.248175,21423.39374,6270.072993,23576.19739,6310.26253,21791.00145,5708.830549,27625.54427,6288.782816,28496.37155,6095.465394,27930.33382,5579.952267
23880.98694,9381.861575,23184.32511,8544.152745,20571.84325,7384.24821,17088.53411,6116.945107,18264.15094,6224.343675,16043.54136,5279.236277,16522.49637,5257.756563,24577.64877,6460.620525,23010.15965,5880.668258,28801.1611,6675.417661,29367.19884,6696.897375,28801.1611,6009.546539
24795.35559,9704.057279,24229.31785,8823.389021,21703.91872,7663.484487,17915.82003,6396.181384,19352.68505,6482.100239,16696.66183,5494.033413,17872.27866,5601.431981,26058.05515,6718.377088,24229.31785,6052.505967,29671.98839,7212.410501,30281.56749,7276.849642,29454.28157,6417.661098
